date,reviews_count
2010-07-31,1
2010-08-31,0
2010-09-30,2
2010-10-31,0
2010-11-30,0
2010-12-31,1
2011-01-31,2
2011-02-28,0
2011-03-31,1
2011-04-30,3
2011-05-31,3
2011-06-30,3
2011-07-31,11
2011-08-31,22
2011-09-30,28
2011-10-31,17
2011-11-30,15
2011-12-31,15
2012-01-31,23
2012-02-29,23
2012-03-31,33
2012-04-30,62
2012-05-31,90
2012-06-30,87
2012-07-31,141
2012-08-31,172
2012-09-30,171
2012-10-31,155
2012-11-30,104
2012-12-31,75
2013-01-31,122
2013-02-28,108
2013-03-31,191
2013-04-30,294
2013-05-31,402
2013-06-30,361
2013-07-31,508
2013-08-31,581
2013-09-30,594
2013-10-31,538
2013-11-30,405
2013-12-31,299
2014-01-31,368
2014-02-28,374
2014-03-31,571
2014-04-30,845
2014-05-31,1097
2014-06-30,1085
2014-07-31,1320
2014-08-31,1795
2014-09-30,1738
2014-10-31,1727
2014-11-30,1304
2014-12-31,884
2015-01-31,1091
2015-02-28,1219
2015-03-31,1696
2015-04-30,2416
2015-05-31,2765
2015-06-30,2966
2015-07-31,3317
2015-08-31,3835
2015-09-30,3796
2015-10-31,3472
2015-11-30,2147
2015-12-31,1832
2016-01-31,2089
2016-02-29,2131
2016-03-31,3061
2016-04-30,4020
2016-05-31,5129
2016-06-30,4721
2016-07-31,6317
2016-08-31,7086
2016-09-30,6631
2016-10-31,6574
2016-11-30,4795
2016-12-31,3082
2017-01-31,3999
2017-02-28,4017
2017-03-31,5590
2017-04-30,8367
2017-05-31,9261
2017-06-30,9199
2017-07-31,10471
2017-08-31,11342
2017-09-30,11168
2017-10-31,10149
2017-11-30,6746
2017-12-31,5167
2018-01-31,6058
2018-02-28,5780
2018-03-31,8671
2018-04-30,11163
2018-05-31,13264
2018-06-30,12929
2018-07-31,14549
2018-08-31,15053
2018-09-30,15094
2018-10-31,14111
2018-11-30,9646
2018-12-31,6809
2019-01-31,8214
2019-02-28,7886
2019-03-31,11963
2019-04-30,15139
2019-05-31,17461
2019-06-30,17598
2019-07-31,18442
2019-08-31,18964
2019-09-30,18906
2019-10-31,17468
2019-11-30,11925
2019-12-31,9147
2020-01-31,9736
2020-02-29,9864
2020-03-31,6840
2020-04-30,272
2020-05-31,561
2020-06-30,1341
2020-07-31,3649
2020-08-31,7495
2020-09-30,6196
2020-10-31,4077
2020-11-30,2029
2020-12-31,1964
2021-01-31,1984
2021-02-28,883
2021-03-31,1084
2021-04-30,1893
2021-05-31,4168
2021-06-30,7018
2021-07-31,8439
2021-08-31,14455
2021-09-30,13144
2021-10-31,14211
2021-11-30,12842
2021-12-31,8987
2022-01-31,7990
2022-02-28,10677
2022-03-31,15621
2022-04-30,19909
2022-05-31,22524
2022-06-30,23991
2022-07-31,26449
2022-08-31,26791
2022-09-30,25674
2022-10-31,24867
2022-11-30,18508
2022-12-31,12430
2023-01-31,14423
2023-02-28,15254
2023-03-31,21004
2023-04-30,25143
2023-05-31,29190
2023-06-30,27812
2023-07-31,29498
2023-08-31,30205
2023-09-30,29769
2023-10-31,29668
2023-11-30,20663
2023-12-31,14456
2024-01-31,14999
2024-02-29,17356
2024-03-31,24795
2024-04-30,28245
2024-05-31,34371
2024-06-30,32049
2024-07-31,32827
2024-08-31,34743
2024-09-30,36076
2024-10-31,34214
2024-11-30,23057
2024-12-31,16090
2025-01-31,17313
2025-02-28,18003
2025-03-31,26020
2025-04-30,31129
2025-05-31,38226
2025-06-30,36871
2025-07-31,37065
2025-08-31,39535
2025-09-30,18023
2025-10-31,11
